Demand,Radiations,Solar_Power,Grid_Power
68573,56715,56715,11858
48004,57736,48004,0
34314,28005,28005,6309
52911,44318,44318,8593
44765,40496,40496,4269
15045,32702,15045,0
13193,12036,12036,1157
74727,27220,27220,47507
77267,56815,56815,20452
8991,37615,8991,0
36215,15322,15322,20893
16565,10343,10343,6222
75128,46664,46664,28464
9757,14495,9757,0
18140,10237,10237,7903
9179,42053,9179,0
39803,51185,39803,0
70888,48588,48588,22300
12312,53637,12312,0
73968,57291,57291,16677
45222,38166,38166,7056
40557,15871,15871,24686
25301,9184,9184,16117
26008,16833,16833,9175
21773,49454,21773,0
9062,32765,9062,0
54029,10168,10168,43861
48258,26508,26508,21750
46842,24959,24959,21883
54177,55286,54177,0
2905,38495,2905,0
43437,20266,20266,23171
10746,32755,10746,0
70561,51841,51841,18720
49476,51988,49476,0
60072,4309,4309,55763
66624,57190,57190,9434
10145,58376,10145,0
29029,49152,29029,0
6243,22381,6243,0
79149,189,189,78960
19862,52104,19862,0
68356,30915,30915,37441
76612,57272,57272,19340
75601,54391,54391,21210
38819,4475,4475,34344
55122,11813,11813,43309
53274,39072,39072,14202
38906,59079,38906,0
28305,37483,28305,0
3921,12656,3921,0
75572,15202,15202,60370
7775,2465,2465,5310
1555,6889,1555,0
63842,39592,39592,24250
25600,29403,25600,0
5880,26016,5880,0
5533,54834,5533,0
64261,13600,13600,50661
48063,25877,25877,22186
55290,28654,28654,26636
59410,57073,57073,2337
78413,5238,5238,73175
58200,37785,37785,20415
78848,26163,26163,52685
49809,21400,21400,28409
70819,32306,32306,38513
61536,47983,47983,13553
76836,46841,46841,29995
55824,1575,1575,54249
70206,192,192,70014
59310,37826,37826,21484
43248,1564,1564,41684
43344,30264,30264,13080
69522,55884,55884,13638
38438,31788,31788,6650
19734,10097,10097,9637
30022,58088,30022,0
41319,48583,41319,0
72802,6203,6203,66599
69045,35179,35179,33866
2010,14395,2010,0
59281,30419,30419,28862
34497,58328,34497,0
10245,45145,10245,0
46178,38142,38142,8036
50488,36232,36232,14256
39024,43186,39024,0
45991,54289,45991,0
19773,18039,18039,1734
45433,50346,45433,0
53675,30019,30019,23656
37828,56897,37828,0
10797,53563,10797,0
44132,30563,30563,13569
14064,32941,14064,0
25044,57483,25044,0
31062,3720,3720,27342
4003,33267,4003,0
34453,7194,7194,27259
55855,6245,6245,49610
11052,32067,11052,0
3500,38584,3500,0
69826,10164,10164,59662
6419,29937,6419,0
77085,25703,25703,51382
15613,59319,15613,0
37552,13362,13362,24190
70308,54912,54912,15396
2947,31144,2947,0
3960,6331,3960,0
45198,35382,35382,9816
16309,27098,16309,0
49263,9166,9166,40097
74796,36819,36819,37977
20514,31890,20514,0
29014,19651,19651,9363
2295,11022,2295,0
31965,52402,31965,0
37220,14742,14742,22478
23305,37069,23305,0
55461,47274,47274,8187
55487,6074,6074,49413
24391,50959,24391,0
28002,7422,7422,20580
2098,14418,2098,0
79820,28422,28422,51398
29475,24466,24466,5009
19370,43845,19370,0
65329,45061,45061,20268
45392,19265,19265,26127
79130,34067,34067,45063
6004,42147,6004,0
73508,51538,51538,21970
76993,48816,48816,28177
34964,20904,20904,14060
16779,28371,16779,0
41877,21552,21552,20325
48943,44898,44898,4045
18300,28669,18300,0
72000,43057,43057,28943
27893,16926,16926,10967
35083,12373,12373,22710
2892,41850,2892,0
2760,46956,2760,0
11049,30354,11049,0
73960,963,963,72997
30203,16406,16406,13797
26305,28118,26305,0
23432,21307,21307,2125
55104,17735,17735,37369
13228,16642,13228,0
32020,16719,16719,15301
56363,48359,48359,8004
35063,14520,14520,20543
47754,59939,47754,0
37533,32227,32227,5306
65598,56509,56509,9089
2153,45502,2153,0
69092,41058,41058,28034
73799,55747,55747,18052
42492,32066,32066,10426
76733,49223,49223,27510
18432,20404,18432,0
6352,5224,5224,1128
42213,6571,6571,35642
48277,16768,16768,31509
8494,45438,8494,0
39956,29073,29073,10883
20271,38642,20271,0
20162,55371,20162,0
39947,19917,19917,20030
75696,8375,8375,67321
5298,4484,4484,814
49556,1921,1921,47635
32863,13167,13167,19696
45146,15037,15037,30109
47039,13512,13512,33527
2143,57044,2143,0
28184,45083,28184,0
75893,31457,31457,44436
77777,7527,7527,70250
6613,4112,4112,2501
68983,47316,47316,21667
12701,15650,12701,0
26699,27458,26699,0
59727,16876,16876,42851
42386,53743,42386,0
55910,17025,17025,38885
4138,14644,4138,0
8400,51330,8400,0
47601,4813,4813,42788
42886,2520,2520,40366
47686,1751,1751,45935
1740,25416,1740,0
5426,41981,5426,0
70277,15131,15131,55146
62772,20728,20728,42044
77737,26868,26868,50869
27620,52219,27620,0
11676,12050,11676,0
61792,51356,51356,10436
44185,21144,21144,23041
18978,10931,10931,8047
18293,10050,10050,8243
27580,330,330,27250
78905,57913,57913,20992
24799,34844,24799,0
3974,17880,3974,0
36792,603,603,36189
71913,57285,57285,14628
49081,49039,49039,42
40500,17434,17434,23066
75002,14671,14671,60331
5062,26719,5062,0
78844,20752,20752,58092
62649,33077,33077,29572
43622,42966,42966,656
44371,2584,2584,41787
26338,58937,26338,0
60023,22267,22267,37756
74668,22037,22037,52631
29027,54920,29027,0
30703,27411,27411,3292
74873,2810,2810,72063
33510,24291,24291,9219
39233,37655,37655,1578
79968,55165,55165,24803
16598,26303,16598,0
66596,43341,43341,23255
73254,37754,37754,35500
77091,28251,28251,48840
18736,52301,18736,0
58595,25694,25694,32901
60944,14552,14552,46392
65910,7043,7043,58867
57520,19750,19750,37770
62441,16364,16364,46077
77441,33112,33112,44329
48128,28310,28310,19818
20389,29151,20389,0
22693,56119,22693,0
79386,55037,55037,24349
34202,3124,3124,31078
32585,2082,2082,30503
10560,22855,10560,0
61635,6193,6193,55442
45925,33496,33496,12429
30503,12009,12009,18494
50958,48991,48991,1967
74896,56774,56774,18122
6223,29107,6223,0
3774,18329,3774,0
49606,28930,28930,20676
55711,26624,26624,29087
75766,11052,11052,64714
2460,36330,2460,0
57628,6931,6931,50697
51353,14945,14945,36408
21887,5480,5480,16407
48381,34383,34383,13998
67393,7489,7489,59904
57991,43959,43959,14032
8735,21343,8735,0
53900,45904,45904,7996
40644,24754,24754,15890
15745,21053,15745,0
59509,3089,3089,56420
5780,56943,5780,0
2154,9905,2154,0
44965,5155,5155,39810
14216,21058,14216,0
38665,32003,32003,6662
29608,34769,29608,0
21706,3486,3486,18220
61370,43820,43820,17550
69261,19226,19226,50035
5953,15008,5953,0
16770,31042,16770,0
28041,53984,28041,0
75902,54564,54564,21338
17745,58145,17745,0
50088,16114,16114,33974
15608,37359,15608,0
29450,12388,12388,17062
7530,3780,3780,3750
18494,42613,18494,0
60273,1794,1794,58479
65447,41577,41577,23870
70395,46532,46532,23863
49397,55990,49397,0
69790,57585,57585,12205
40179,22160,22160,18019
73529,10264,10264,63265
46172,49551,46172,0
69195,22316,22316,46879
75975,28143,28143,47832
37722,33331,33331,4391
53509,39766,39766,13743
52759,58210,52759,0
24320,43276,24320,0
61263,43694,43694,17569
36204,54865,36204,0
76170,14612,14612,61558
57803,19450,19450,38353
23444,26568,23444,0
1551,17678,1551,0
56347,42415,42415,13932
67500,22913,22913,44587
39574,9015,9015,30559
47271,55872,47271,0
64117,5676,5676,58441
38432,29499,29499,8933
41913,46772,41913,0
43478,29080,29080,14398
25565,59646,25565,0
38946,10799,10799,28147
49540,30234,30234,19306
2114,17528,2114,0
35823,11149,11149,24674
65017,34007,34007,31010
27033,58444,27033,0
50979,54471,50979,0
4882,33359,4882,0
34277,33962,33962,315
6221,13306,6221,0
3315,20166,3315,0
70440,27503,27503,42937
64312,5557,5557,58755
8566,41055,8566,0
19658,24833,19658,0
50109,58040,50109,0
50170,22206,22206,27964
27934,37773,27934,0
3007,24323,3007,0
15827,26462,15827,0
26190,53746,26190,0
63675,21977,21977,41698
79011,9306,9306,69705
52278,43494,43494,8784
76514,240,240,76274
67234,15942,15942,51292
48098,5030,5030,43068
15814,15714,15714,100
6312,45806,6312,0
38167,36729,36729,1438
18680,46549,18680,0
59513,2357,2357,57156
73679,4190,4190,69489
7962,49414,7962,0
39464,1426,1426,38038
35604,42316,35604,0
35204,5337,5337,29867
38252,35564,35564,2688
11798,32440,11798,0
39152,39193,39152,0
10894,38628,10894,0
57824,51405,51405,6419
59245,57073,57073,2172
59138,18066,18066,41072
60290,53909,53909,6381
13556,19785,13556,0
63070,34273,34273,28797
37669,39801,37669,0
28265,48009,28265,0
57856,39653,39653,18203
36473,34154,34154,2319
79288,30499,30499,48789
22264,6940,6940,15324
60365,58437,58437,1928
67665,48676,48676,18989
62114,11770,11770,50344
27282,37933,27282,0
6329,6597,6329,0
16841,49199,16841,0
35671,41299,35671,0
57330,27868,27868,29462
21860,47512,21860,0
43108,11548,11548,31560
31725,53254,31725,0
66909,53275,53275,13634
50749,55996,50749,0
2107,47606,2107,0
16118,23058,16118,0
2345,30127,2345,0
58439,17503,17503,40936
32216,7191,7191,25025
28872,13296,13296,15576
41222,12350,12350,28872
63298,45848,45848,17450
65299,3737,3737,61562
34510,22479,22479,12031
59592,14907,14907,44685
34926,22929,22929,11997
27225,33365,27225,0
18943,22914,18943,0
56830,23132,23132,33698
67444,19743,19743,47701
1273,26368,1273,0
19623,52865,19623,0
22437,12925,12925,9512
76163,55912,55912,20251
66614,11511,11511,55103
11642,43020,11642,0
55914,8126,8126,47788
64230,7958,7958,56272
44136,33368,33368,10768
8552,7973,7973,579
29640,22240,22240,7400
69087,46034,46034,23053
34595,650,650,33945
66085,55598,55598,10487
47957,14979,14979,32978
5930,21599,5930,0
24074,22647,22647,1427
62488,4883,4883,57605
71294,38909,38909,32385
8130,16576,8130,0
70559,49091,49091,21468
42880,56089,42880,0
30276,9494,9494,20782
18189,13806,13806,4383
73231,46835,46835,26396
56699,49768,49768,6931
56683,55202,55202,1481
14395,21939,14395,0
19831,59117,19831,0
13088,46194,13088,0
30362,16232,16232,14130
69953,22313,22313,47640
68051,16960,16960,51091
47483,27554,27554,19929
38021,6024,6024,31997
39217,29127,29127,10090
4587,16128,4587,0
58034,37316,37316,20718
53753,51984,51984,1769
66135,21597,21597,44538
79019,20286,20286,58733
5827,58276,5827,0
8765,23683,8765,0
18469,26338,18469,0
68042,13533,13533,54509
46887,35635,35635,11252
41316,38935,38935,2381
61996,15537,15537,46459
59454,44768,44768,14686
73582,15583,15583,57999
34062,9855,9855,24207
74883,27806,27806,47077
17368,7076,7076,10292
65331,57439,57439,7892
61928,8023,8023,53905
4111,38467,4111,0
65683,40294,40294,25389
18148,21823,18148,0
54420,36093,36093,18327
15831,42278,15831,0
26116,12321,12321,13795
5207,30095,5207,0
37845,8162,8162,29683
6759,32649,6759,0
74279,18767,18767,55512
70657,56774,56774,13883
4936,59902,4936,0
2069,5561,2069,0
21514,42883,21514,0
20612,49252,20612,0
17645,5888,5888,11757
40720,32003,32003,8717
53254,7574,7574,45680
58469,47747,47747,10722
17680,23514,17680,0
41229,48512,41229,0
17154,19854,17154,0
27982,13827,13827,14155
3883,16181,3883,0
66275,54962,54962,11313
53285,35699,35699,17586
5734,43656,5734,0
76298,55206,55206,21092
71870,48022,48022,23848
60306,31843,31843,28463
52892,54191,52892,0
20993,1999,1999,18994
37709,32943,32943,4766
49131,12461,12461,36670
78031,42516,42516,35515
3012,47500,3012,0
55297,49214,49214,6083
67704,49813,49813,17891
25542,31270,25542,0
64552,27777,27777,36775
6993,813,813,6180
14356,42431,14356,0
54172,20710,20710,33462
42114,24649,24649,17465
30234,22043,22043,8191
55115,5389,5389,49726
42669,48521,42669,0
19042,15706,15706,3336
61841,56522,56522,5319
66464,38131,38131,28333
1014,11457,1014,0
70157,59432,59432,10725
11052,47855,11052,0
55165,2497,2497,52668
58814,44982,44982,13832
8279,12628,8279,0
3605,38971,3605,0
54734,56568,54734,0
78871,11462,11462,67409
77036,36404,36404,40632
28110,58852,28110,0
44342,4989,4989,39353
68152,16006,16006,52146
23626,5052,5052,18574
24152,50914,24152,0
39932,23122,23122,16810
22037,5318,5318,16719
45391,50035,45391,0
72606,7865,7865,64741
41517,15320,15320,26197
1596,44682,1596,0
28476,57511,28476,0
53351,26805,26805,26546
46356,10656,10656,35700
51758,25653,25653,26105
76973,10370,10370,66603
27562,59319,27562,0
61755,26108,26108,35647
30385,19427,19427,10958
59268,19945,19945,39323
56526,34216,34216,22310
68616,57873,57873,10743
57523,50348,50348,7175
23842,45754,23842,0
73445,16329,16329,57116
33191,8089,8089,25102
51642,48309,48309,3333
68629,2469,2469,66160
55975,15948,15948,40027
53174,28604,28604,24570
58008,21981,21981,36027
38866,6576,6576,32290
27322,43166,27322,0
4162,2416,2416,1746
74739,37557,37557,37182
17867,51369,17867,0
20408,30682,20408,0
11063,28693,11063,0
44367,12808,12808,31559
11134,27882,11134,0
45365,15915,15915,29450
31331,33563,31331,0
65958,25390,25390,40568
73450,37309,37309,36141
61113,45792,45792,15321
33311,31128,31128,2183
42636,17407,17407,25229
17356,42850,17356,0
39410,4053,4053,35357
36100,14420,14420,21680
41153,22516,22516,18637
32214,10408,10408,21806
22001,37390,22001,0
38622,2100,2100,36522
68075,31212,31212,36863
4503,25736,4503,0
74189,39340,39340,34849
33768,52168,33768,0
31750,6017,6017,25733
25505,17339,17339,8166
47994,4351,4351,43643
23700,5487,5487,18213
70017,18709,18709,51308
43745,28945,28945,14800
59279,36388,36388,22891
11201,21389,11201,0
17937,59482,17937,0
34612,38919,34612,0
71441,31709,31709,39732
4589,32844,4589,0
17386,17908,17386,0
46970,21282,21282,25688
27113,54237,27113,0
1400,28364,1400,0
68407,19949,19949,48458
49228,4972,4972,44256
24225,22856,22856,1369
8621,32660,8621,0
66818,38944,38944,27874
51987,13836,13836,38151
76034,6804,6804,69230
62276,54879,54879,7397
70477,659,659,69818
78472,36024,36024,42448
20205,56340,20205,0
78971,23991,23991,54980
35873,36436,35873,0
79657,24909,24909,54748
15592,4875,4875,10717
31908,37936,31908,0
72761,39584,39584,33177
72535,53212,53212,19323
67253,17832,17832,49421
77326,38024,38024,39302
23155,12487,12487,10668
66319,3938,3938,62381
41776,56309,41776,0
11764,50476,11764,0
11870,37112,11870,0
38987,35778,35778,3209
3989,25773,3989,0
60774,47495,47495,13279
47951,16945,16945,31006
19919,42019,19919,0
22404,4340,4340,18064
11931,51535,11931,0
79763,42768,42768,36995
50431,37648,37648,12783
2845,41989,2845,0
45615,30267,30267,15348
58990,28664,28664,30326
6830,27927,6830,0
67446,14017,14017,53429
6652,15773,6652,0
36574,18796,18796,17778
31938,3793,3793,28145
79895,55048,55048,24847
25598,46373,25598,0
22688,39313,22688,0
8949,1345,1345,7604
72338,27350,27350,44988
53621,21367,21367,32254
32910,2256,2256,30654
78245,20881,20881,57364
63980,51631,51631,12349
51225,18367,18367,32858
43212,25016,25016,18196
69089,50492,50492,18597
61651,51808,51808,9843
42752,44613,42752,0
13519,46323,13519,0
77664,38068,38068,39596
62063,56691,56691,5372
31416,2308,2308,29108
21344,11423,11423,9921
21445,12489,12489,8956
18334,41306,18334,0
48404,58703,48404,0
77805,39622,39622,38183
57223,43605,43605,13618
2123,12995,2123,0
12995,47728,12995,0
41843,48549,41843,0
4050,51990,4050,0
46411,25728,25728,20683
63046,57361,57361,5685
51658,53832,51658,0
60763,13454,13454,47309
4375,9098,4375,0
47458,28523,28523,18935
56163,37323,37323,18840
24585,30387,24585,0
46527,36335,36335,10192
58431,30449,30449,27982
56162,46161,46161,10001
49626,12614,12614,37012
70679,28076,28076,42603
70769,11781,11781,58988
41632,13671,13671,27961
54660,57878,54660,0
11718,34054,11718,0
6667,48488,6667,0
44169,35100,35100,9069
41082,20381,20381,20701
20854,954,954,19900
38101,42032,38101,0
66444,49148,49148,17296
4735,4350,4350,385
20860,51698,20860,0
43597,28631,28631,14966
44102,33855,33855,10247
64807,27346,27346,37461
13566,43793,13566,0
28545,12910,12910,15635
58140,49745,49745,8395
30732,55918,30732,0
25097,53764,25097,0
72436,15794,15794,56642
42206,39881,39881,2325
26334,35946,26334,0
15578,20496,15578,0
28149,42333,28149,0
42017,52030,42017,0
44045,50040,44045,0
47298,47780,47298,0
15283,23677,15283,0
37677,17467,17467,20210
56389,25800,25800,30589
18899,48283,18899,0
64382,27986,27986,36396
17018,57105,17018,0
26472,53252,26472,0
8419,43843,8419,0
34256,4153,4153,30103
17286,34431,17286,0
11265,12241,11265,0
13306,50360,13306,0
74709,57882,57882,16827
60153,33759,33759,26394
45634,49845,45634,0
27131,30471,27131,0
64164,19574,19574,44590
1455,13569,1455,0
71114,51794,51794,19320
41297,50923,41297,0
45803,28122,28122,17681
3506,39638,3506,0
32015,50191,32015,0
71515,47438,47438,24077
67111,49172,49172,17939
1161,26462,1161,0
45722,47278,45722,0
79878,33564,33564,46314
68012,21043,21043,46969
2222,20603,2222,0
45092,28022,28022,17070
36228,44380,36228,0
5142,53393,5142,0
43469,8923,8923,34546
24271,33594,24271,0
70369,19256,19256,51113
62469,6396,6396,56073
71189,41596,41596,29593
29886,41685,29886,0
24182,43145,24182,0
24462,36551,24462,0
13914,46788,13914,0
42053,37498,37498,4555
6568,46508,6568,0
79488,40555,40555,38933
74961,12910,12910,62051
49635,7768,7768,41867
34485,18995,18995,15490
60802,6660,6660,54142
40237,34460,34460,5777
26623,22428,22428,4195
5419,59542,5419,0
76046,3355,3355,72691
42884,37830,37830,5054
77469,59857,59857,17612
16329,49076,16329,0
67569,39723,39723,27846
18843,18378,18378,465
36085,16799,16799,19286
51417,15288,15288,36129
53125,22197,22197,30928
10192,11187,10192,0
58293,40222,40222,18071
66855,31246,31246,35609
41654,1354,1354,40300
24990,48288,24990,0
18700,21752,18700,0
25386,27265,25386,0
34242,30186,30186,4056
29196,59845,29196,0
7249,18752,7249,0
70729,20511,20511,50218
52970,37676,37676,15294
60608,32107,32107,28501
5715,37693,5715,0
13023,59202,13023,0
17426,54556,17426,0
21672,59296,21672,0
51100,57336,51100,0
69389,51013,51013,18376
27807,52996,27807,0
41350,19564,19564,21786
3025,28191,3025,0
51898,5369,5369,46529
44199,48228,44199,0
58690,17753,17753,40937
1184,46940,1184,0
6356,6888,6356,0
9655,20941,9655,0
9945,39112,9945,0
50502,39350,39350,11152
50479,24325,24325,26154
40601,58022,40601,0
70613,28903,28903,41710
41948,336,336,41612
32550,46537,32550,0
30243,59063,30243,0
47423,50793,47423,0
77038,225,225,76813
40496,33236,33236,7260
31061,57380,31061,0
37033,7023,7023,30010
25246,19752,19752,5494
72513,27322,27322,45191
24623,10921,10921,13702
4546,22851,4546,0
11295,40821,11295,0
15821,52358,15821,0
78591,59808,59808,18783
76625,13458,13458,63167
7919,41107,7919,0
15714,51927,15714,0
5557,11027,5557,0
27815,40905,27815,0
34635,7304,7304,27331
61688,51380,51380,10308
61638,40083,40083,21555
66646,34809,34809,31837
51066,36457,36457,14609
39448,28229,28229,11219
76388,12832,12832,63556
50660,56521,50660,0
51337,16617,16617,34720
41322,17981,17981,23341
38079,55604,38079,0
5414,46922,5414,0
8592,29652,8592,0
69358,58334,58334,11024
59613,30495,30495,29118
5307,21149,5307,0
33530,7220,7220,26310
36339,57399,36339,0
2671,7645,2671,0
50030,19812,19812,30218
40825,11301,11301,29524
25314,1428,1428,23886
37183,13744,13744,23439
68573,32021,32021,36552
4841,2475,2475,2366
55823,21277,21277,34546
62383,10436,10436,51947
50991,51359,50991,0
62588,12994,12994,49594
48703,49217,48703,0
78353,29279,29279,49074
64880,56641,56641,8239
22481,13618,13618,8863
47536,13212,13212,34324
36359,57844,36359,0
66831,50616,50616,16215
56339,52343,52343,3996
11837,23349,11837,0
46205,5071,5071,41134
20597,2211,2211,18386
28182,59598,28182,0
72274,31130,31130,41144
77568,52316,52316,25252
26764,51183,26764,0
22253,57952,22253,0
68347,42741,42741,25606
36134,3639,3639,32495
54967,34243,34243,20724
58106,28219,28219,29887
59918,15650,15650,44268
55608,50094,50094,5514
36827,13041,13041,23786
1686,24127,1686,0
21918,35508,21918,0
46090,44687,44687,1403
57425,45371,45371,12054
67091,6595,6595,60496
37907,8186,8186,29721
40828,22533,22533,18295
69884,42368,42368,27516
47055,36331,36331,10724
44010,37046,37046,6964
46898,22613,22613,24285
25305,57143,25305,0
45209,1239,1239,43970
37717,58703,37717,0
24151,1144,1144,23007
66586,25399,25399,41187
4929,28105,4929,0
23012,54681,23012,0
74969,58405,58405,16564
38848,20073,20073,18775
21393,58238,21393,0
16509,52545,16509,0
73734,3512,3512,70222
54355,42947,42947,11408
3402,6114,3402,0
70054,52808,52808,17246
66201,49125,49125,17076
61622,1657,1657,59965
9783,50983,9783,0
72658,49411,49411,23247
75785,52234,52234,23551
31227,12982,12982,18245
28617,56433,28617,0
6323,9614,6323,0
15788,50055,15788,0
76188,16083,16083,60105
63519,26666,26666,36853
77887,37029,37029,40858
68572,13735,13735,54837
68979,36011,36011,32968
47965,30301,30301,17664
45435,47533,45435,0
4328,27083,4328,0
38057,45207,38057,0
21305,3247,3247,18058
70319,52532,52532,17787
72421,53996,53996,18425
55594,8747,8747,46847
39275,34508,34508,4767
28135,1087,1087,27048
57060,50234,50234,6826
10596,2238,2238,8358
48433,39316,39316,9117
48379,16478,16478,31901
48139,31802,31802,16337
34339,35674,34339,0
39137,33893,33893,5244
46757,31653,31653,15104
20442,5800,5800,14642
3414,24460,3414,0
46654,3666,3666,42988
48284,30366,30366,17918
52571,47393,47393,5178
63440,26777,26777,36663
75580,38047,38047,37533
19986,10018,10018,9968
20379,9882,9882,10497
32123,12114,12114,20009
21845,32310,21845,0
24462,37684,24462,0
70894,44777,44777,26117
2528,6929,2528,0
54856,11867,11867,42989
67304,14906,14906,52398
39110,9167,9167,29943
11357,4997,4997,6360
13536,2202,2202,11334
55338,18300,18300,37038
24676,24116,24116,560
12309,47319,12309,0
17040,23157,17040,0
52996,30366,30366,22630
47220,39771,39771,7449
23298,18798,18798,4500
70282,48235,48235,22047
59696,29717,29717,29979
64007,56125,56125,7882
67092,24797,24797,42295
53457,43298,43298,10159
